Reported Date,Suburb - Incident,Postcode - Incident,Offence Level 1 Description,Offence Level 2 Description,Offence Level 3 Description,Offence count
07/07/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
07/07/2024,PARKSIDE,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
07/07/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
07/07/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,2
07/08/2023,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1
07/08/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
07/08/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,1
07/08/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
07/08/2023,UNLEY,5061,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
07/08/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
07/08/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
07/09/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
07/09/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,2
07/09/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
07/09/2023,UNLEY,5061,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
07/09/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
07/10/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
07/10/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1
07/11/2023,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,2
07/11/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
07/11/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
07/11/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
07/12/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
07/12/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1
08/01/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
08/02/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
08/03/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
08/04/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,2
08/04/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
08/04/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
08/05/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,1
08/06/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
08/06/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
08/06/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,2
08/06/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
08/07/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
08/07/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,4
08/07/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,2
08/07/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
08/07/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
08/08/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
08/08/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
08/08/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
08/09/2023,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
08/09/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
08/09/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
08/10/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
08/11/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
08/11/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,2
08/11/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
08/11/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
08/11/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
08/12/2023,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
08/12/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,2
08/12/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
08/12/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
08/12/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,1
08/12/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
09/01/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
09/02/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
09/03/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
09/04/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
09/04/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1
09/04/2024,PARKSIDE,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,1
09/05/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
09/06/2024,EASTWOOD,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
09/06/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
09/07/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
09/07/2023,PARKSIDE,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
09/07/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
09/07/2024,PARKSIDE,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Common Assault,1
09/07/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
09/08/2023,FULLARTON,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
09/08/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
09/09/2024,FULLARTON,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
09/10/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
09/10/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
09/10/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
09/10/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1
09/11/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
09/11/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
09/12/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
10/01/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1
10/01/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
10/01/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,2
10/02/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
10/02/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
10/03/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
10/03/2024,UNLEY,5061,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
10/04/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
10/04/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
10/04/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
10/04/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
10/04/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
10/04/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
10/05/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
10/05/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
10/06/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
10/06/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,3
10/06/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
10/07/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
10/07/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
10/08/2023,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
10/08/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,1
10/08/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,2
10/08/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
10/08/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
10/08/2024,FULLARTON,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
10/08/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
10/08/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,1
10/09/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
10/09/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
10/09/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,2
10/09/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
10/10/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
10/10/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
10/10/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
10/11/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
10/11/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
10/12/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
10/12/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,2
11/01/2024,PARKSIDE,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
11/01/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
11/02/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
11/02/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
11/02/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
11/03/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,2
11/03/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
11/03/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
11/04/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
11/04/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
11/04/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
11/05/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
11/05/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,2
11/06/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
11/06/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
11/06/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,1
11/07/2023,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1
11/07/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
11/07/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
11/07/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
11/07/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
11/07/2023,UNLEY,5061,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,1
11/07/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
11/08/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
11/08/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
11/08/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
11/08/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1
11/09/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
11/10/2023,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1
11/10/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
11/11/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
11/11/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
11/11/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
11/11/2023,UNLEY,5061,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Common Assault,1
11/12/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
12/02/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
12/02/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
12/02/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,2
12/02/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
12/02/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
12/02/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
12/03/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
12/03/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
12/03/2024,PARKSIDE,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
12/05/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
12/05/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
12/05/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
12/05/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
12/06/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
12/06/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
12/07/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
12/07/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
12/07/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
12/07/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
12/07/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,1
12/07/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
12/07/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
12/08/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,1
12/08/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
12/08/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,2
12/08/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,1
12/08/2024,UNLEY,5061,OFFENCES AGAINST THE PERSON,ROBBERY AND RELATED OFFENCES,Non-aggravated robbery,1
12/09/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
12/09/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
12/09/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
12/09/2023,FULLARTON,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
12/09/2023,FULLARTON,5063,OFFENCES AGAINST THE PERSON,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,1
12/09/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,2
12/09/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
12/09/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
12/09/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
12/09/2024,UNLEY,5061,OFFENCES AGAINST THE PERSON,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,2
12/10/2023,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
12/10/2023,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
12/10/2023,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,2
12/10/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
12/10/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
12/10/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
12/10/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
12/11/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
12/11/2023,UNLEY,5061,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
12/12/2023,FULLARTON,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
13/01/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
13/01/2024,FULLARTON,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Common Assault,1
13/01/2024,FULLARTON,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
13/01/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
13/02/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,2
13/02/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,1
13/03/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
13/05/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1
13/05/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
